kworker+,0.1,2023-10-23 00:16:38
systemd+,0.1,2023-10-23 00:16:38
dbus-da+,0.1,2023-10-23 00:16:38
gnome-t+,0.1,2023-10-23 00:16:38
kworker+,0.1,2023-10-23 00:16:38
gnome-s+,6.2,2023-10-23 00:16:39
1.25,,load,2023-10-23 00:16:49
,stopped,,2023-10-23 00:16:49
0.0,id,,2023-10-23 00:16:49
,used,,2023-10-23 00:16:49
,5621.7,2023-10-23 00:16:49
fstrim,1.4,2023-10-23 00:16:49
kworker+,0.8,2023-10-23 00:16:49
Isolate+,0.5,2023-10-23 00:16:49
mta-sts+,0.4,2023-10-23 00:16:49
gnome-s+,0.4,2023-10-23 00:16:49
gjs,0.3,2023-10-23 00:16:49
kworker+,0.2,2023-10-23 00:16:49
tracker+,0.2,2023-10-23 00:16:49
kworker+,0.1,2023-10-23 00:16:49
jbd2/sd+,0.1,2023-10-23 00:16:49
systemd+,0.1,2023-10-23 00:16:49
showtim+,0.1,2023-10-23 00:16:49
contain+,0.1,2023-10-23 00:16:49
gvfs-go+,0.1,2023-10-23 00:16:49
tracker+,0.1,2023-10-23 00:16:49
kworker+,0.1,2023-10-23 00:16:49
kworker+,0.1,2023-10-23 00:16:49
kworker+,0.1,2023-10-23 00:16:49
top,0.1,2023-10-23 00:16:49
1.29,,load,2023-10-23 00:16:59
,stopped,,2023-10-23 00:16:59
0.0,id,,2023-10-23 00:16:59
,used,,2023-10-23 00:16:59
,5606.4,2023-10-23 00:16:59
tracker+,1.3,2023-10-23 00:16:59
fstrim,1.2,2023-10-23 00:16:59
kworker+,0.6,2023-10-23 00:16:59
Isolate+,0.6,2023-10-23 00:16:59
tracker+,0.5,2023-10-23 00:16:59
kworker+,0.4,2023-10-23 00:16:59
mta-sts+,0.4,2023-10-23 00:16:59
kworker+,0.3,2023-10-23 00:16:59
gjs,0.2,2023-10-23 00:16:59
kworker+,0.1,2023-10-23 00:16:59
systemd+,0.1,2023-10-23 00:16:59
contain+,0.1,2023-10-23 00:16:59
upowerd,0.1,2023-10-23 00:16:59
gvfsd-m+,0.1,2023-10-23 00:16:59
top,0.1,2023-10-23 00:16:59
gnome-s+,12.5,2023-10-23 00:17:00
1.28,,load,2023-10-23 00:17:10
,stopped,,2023-10-23 00:17:10
0.0,id,,2023-10-23 00:17:10
,used,,2023-10-23 00:17:10
,5598.7,2023-10-23 00:17:10
tracker+,3.1,2023-10-23 00:17:10
tracker+,0.7,2023-10-23 00:17:10
mta-sts+,0.6,2023-10-23 00:17:10
Isolate+,0.6,2023-10-23 00:17:10
kworker+,0.3,2023-10-23 00:17:10
systemd+,0.2,2023-10-23 00:17:10
systemd+,0.2,2023-10-23 00:17:10
dbus-da+,0.2,2023-10-23 00:17:10
kworker+,0.1,2023-10-23 00:17:10
irq/47-+,0.1,2023-10-23 00:17:10
systemd+,0.1,2023-10-23 00:17:10
dbus-da+,0.1,2023-10-23 00:17:10
showtim+,0.1,2023-10-23 00:17:10
account+,0.1,2023-10-23 00:17:10
Network+,0.1,2023-10-23 00:17:10
gjs,0.1,2023-10-23 00:17:10
firefox,0.1,2023-10-23 00:17:10
kworker+,0.1,2023-10-23 00:17:10
top,6.7,2023-10-23 00:17:10
1.26,,load,2023-10-23 00:17:20
,stopped,,2023-10-23 00:17:20
0.0,id,,2023-10-23 00:17:20
,used,,2023-10-23 00:17:20
,5611.3,2023-10-23 00:17:20
tracker+,2.9,2023-10-23 00:17:20
mta-sts+,0.7,2023-10-23 00:17:20
Isolate+,0.6,2023-10-23 00:17:20
tracker+,0.5,2023-10-23 00:17:20
systemd+,0.2,2023-10-23 00:17:20
contain+,0.2,2023-10-23 00:17:20
rcu_pre+,0.1,2023-10-23 00:17:20
kworker+,0.1,2023-10-23 00:17:20
jbd2/sd+,0.1,2023-10-23 00:17:20
dbus-da+,0.1,2023-10-23 00:17:20
dbus-da+,0.1,2023-10-23 00:17:20
xdg-des+,0.1,2023-10-23 00:17:20
gjs,0.1,2023-10-23 00:17:20
gvfsd-m+,0.1,2023-10-23 00:17:20
kworker+,0.1,2023-10-23 00:17:20
gnome-s+,6.7,2023-10-23 00:17:21
1.23,,load,2023-10-23 00:17:31
,stopped,,2023-10-23 00:17:31
0.0,id,,2023-10-23 00:17:31
,used,,2023-10-23 00:17:31
,5613.0,2023-10-23 00:17:31
tracker+,2.8,2023-10-23 00:17:31
mta-sts+,0.6,2023-10-23 00:17:31
Isolate+,0.6,2023-10-23 00:17:31
tracker+,0.6,2023-10-23 00:17:31
systemd+,0.2,2023-10-23 00:17:31
dbus-da+,0.2,2023-10-23 00:17:31
kworker+,0.1,2023-10-23 00:17:31
systemd+,0.1,2023-10-23 00:17:31
contain+,0.1,2023-10-23 00:17:31
gjs,0.1,2023-10-23 00:17:31
kworker+,6.2,2023-10-23 00:17:31
1.19,,load,2023-10-23 00:17:41
,stopped,,2023-10-23 00:17:41
0.0,id,,2023-10-23 00:17:41
,used,,2023-10-23 00:17:41
,5590.7,2023-10-23 00:17:41
tracker+,2.9,2023-10-23 00:17:41
mta-sts+,0.8,2023-10-23 00:17:41
Isolate+,0.6,2023-10-23 00:17:41
tracker+,0.6,2023-10-23 00:17:41
rcu_pre+,0.1,2023-10-23 00:17:41
systemd+,0.1,2023-10-23 00:17:41
showtim+,0.1,2023-10-23 00:17:41
Network+,0.1,2023-10-23 00:17:41
gjs,0.1,2023-10-23 00:17:41
gvfsd-m+,0.1,2023-10-23 00:17:41
firefox,0.1,2023-10-23 00:17:41
snap,0.1,2023-10-23 00:17:41
kworker+,0.1,2023-10-23 00:17:41
top,0.1,2023-10-23 00:17:41
tracker+,33.3,2023-10-23 00:17:42
